channel_handle,snapshot_date,channel_id,title,subscribers,total_views,video_count,joined_date
@fixedreturnsacademy,2026-05-18,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2370,294833,203,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-05-19,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2370,294833,203,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-05-20,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2380,297836,204,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-05-21,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2390,297836,204,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-05-22,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2400,302292,204,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-05-23,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2400,304694,205,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-05-26,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2420,309793,206,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-05-27,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2430,311753,206,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-05-28,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2440,313676,207,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-05-29,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2450,314810,207,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-05-30,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2460,316144,207,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-05-31,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2470,318376,207,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-06-01,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2470,319860,207,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-06-02,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2490,321169,208,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-06-03,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2500,322852,209,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-06-04,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2510,324988,210,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-06-05,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2510,328215,211,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-06-06,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2520,330839,212,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-06-07,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2530,334030,212,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-06-08,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2540,336500,213,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-06-09,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2540,336875,213,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-06-10,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2550,338607,214,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-06-11,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2560,340506,215,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-06-12,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2580,342468,216,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-06-13,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2590,344961,217,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-06-14,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2590,346435,217,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-06-15,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2610,348231,217,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-06-16,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2610,349803,218,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-06-17,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2620,351190,219,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-06-18,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2630,352363,220,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-06-19,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2640,353259,220,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-06-20,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2650,355570,221,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-06-21,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2650,357654,221,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-06-22,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2660,358630,221,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-06-23,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2680,359942,222,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-06-24,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2680,359942,223,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-06-25,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2700,363200,223,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-06-26,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2710,365309,223,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-06-27,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2720,367790,224,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-06-28,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2730,369648,225,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-06-29,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2740,372260,225,2025-07-29T07:28:11.137035Z
