timestamp,context_session_id,user_id,active_tab
2026-04-09T00:10:51.193+05:30,1775672522459.0,483823,bonds
2026-04-09T00:21:31.233+05:30,1775674008869.0,1771709,bonds
2026-04-09T00:21:49.184+05:30,1775674008869.0,1771709,bonds
2026-04-09T00:33:02.484+05:30,1775674736347.0,1269356,bonds
2026-04-09T03:59:28.516+05:30,1775687030974.0,1772596,highyieldfd
2026-04-09T04:33:11.688+05:30,1775689169153.0,1771321,bonds
2026-04-09T04:35:19.314+05:30,1775689136283.0,1772606,bonds
2026-04-09T05:47:06.714+05:30,1775693786555.0,1672520,bonds
2026-04-09T05:47:11.881+05:30,1775693786555.0,1672520,bonds
2026-04-09T05:50:49.425+05:30,1775693525412.0,1054397,sdi
2026-04-09T05:52:03.195+05:30,1775693525412.0,1054397,sdi
2026-04-09T05:54:13.56+05:30,1775693525412.0,1054397,sdi
2026-04-09T06:21:06.205+05:30,1775695753285.0,1307935,bonds
2026-04-09T07:08:48.856+05:30,1775697327798.0,1707378,bonds
2026-04-09T07:10:51.629+05:30,1775697327798.0,1707378,bonds
2026-04-09T07:23:20.089+05:30,1775699710188.0,1772697,highyieldfd
2026-04-09T08:08:57.154+05:30,1775701383410.0,1772718,bonds
2026-04-09T08:39:09.675+05:30,1775704103345.0,1198569,bonds
2026-04-09T09:28:37.499+05:30,1775706839231.0,1133462,bonds
2026-04-09T09:30:14.044+05:30,1775707030999.0,1170276,sdi
2026-04-09T09:34:07.503+05:30,1775707030999.0,1170276,bonds
2026-04-09T09:37:10.181+05:30,1775707612786.0,1118197,baskets
2026-04-09T09:37:18.642+05:30,1775707612786.0,1118197,baskets
2026-04-09T09:37:23.13+05:30,1775707612786.0,1118197,baskets
2026-04-09T10:06:36.617+05:30,1775709089795.0,937963,bonds
2026-04-09T10:12:03.326+05:30,1775709590598.0,415762,bonds
2026-04-09T10:12:14.747+05:30,1775709590598.0,415762,bonds
2026-04-09T10:12:40.91+05:30,1775709590598.0,415762,bonds
2026-04-09T10:14:01.73+05:30,1775709590598.0,415762,bonds
2026-04-09T10:20:03.101+05:30,1775709590598.0,415762,bonds
