timestamp,context_session_id,user_id,asset_id,asset_name,item_position,suggestion_type,suggestion_count,active_tab
2026-04-02T19:15:51.26+05:30,1775137472603.0,622564,2506,Best Capital Mar'29,1,top_ytm,3,sdi
2026-04-02T19:20:48.204+05:30,1775137672721.0,1612337,2290,Akara Capitals May'27,2,top_ytm,3,bonds
2026-04-02T19:23:32.478+05:30,1775137831533.0,1725198,2368,Akme Dec'28,3,top_ytm,3,bonds
2026-04-02T19:23:34.77+05:30,1775137831533.0,1725198,2368,Akme Dec'28,3,top_ytm,3,bonds
2026-04-02T19:23:35.585+05:30,1775137831533.0,1725198,2368,Akme Dec'28,3,top_ytm,3,bonds
2026-04-02T19:29:57.579+05:30,1775136271084.0,715615,2290,Akara Capitals May'27,2,top_ytm,3,highyieldfd
2026-04-02T19:36:53.366+05:30,1775137821346.0,20110,2290,Akara Capitals May'27,2,top_ytm,3,bonds
2026-04-02T19:37:10.126+05:30,1775137821346.0,20110,2290,Akara Capitals May'27,2,top_ytm,3,bonds
2026-04-02T19:55:38.469+05:30,1775139834411.0,1127103,2505,Best Capital Mar'29,1,top_ytm,3,bonds
2026-04-02T20:05:15.884+05:30,1775140456366.0,2,2456,Unifinz Capital May'27,2,top_ytm,3,highyieldfd
2026-04-02T20:05:25.069+05:30,1775140456366.0,2,2254,Akara Capitals May'27,3,top_ytm,3,highyieldfd
2026-04-02T20:37:46.532+05:30,1775142455277.0,20110,2505,Best Capital Mar'29,1,top_ytm,3,bonds
2026-04-02T21:14:06.419+05:30,1775144516411.0,858404,2197,Lucina Jan'29,1,top_ytm,3,bonds
2026-04-02T21:58:46.49+05:30,1775146678054.0,1737810,2506,Best Capital Mar'29,1,top_ytm,3,bonds
2026-04-02T21:59:01.998+05:30,1775146678054.0,1737810,2506,Best Capital Mar'29,1,top_ytm,3,bonds
2026-04-02T21:59:03.958+05:30,1775146678054.0,1737810,2506,Best Capital Mar'29,1,top_ytm,3,bonds
2026-04-02T21:59:09.055+05:30,1775146678054.0,1737810,2506,Best Capital Mar'29,1,top_ytm,3,bonds
2026-04-02T21:59:09.807+05:30,1775146678054.0,1737810,2506,Best Capital Mar'29,1,top_ytm,3,bonds
2026-04-02T21:59:09.832+05:30,1775146678054.0,1737810,2506,Best Capital Mar'29,1,top_ytm,3,bonds
2026-04-02T21:59:09.927+05:30,1775146678054.0,1737810,2506,Best Capital Mar'29,1,top_ytm,3,bonds
2026-04-02T21:59:10.636+05:30,1775146678054.0,1737810,2506,Best Capital Mar'29,1,top_ytm,3,bonds
2026-04-02T21:59:10.766+05:30,1775146678054.0,1737810,2506,Best Capital Mar'29,1,top_ytm,3,bonds
2026-04-02T21:59:10.846+05:30,1775146678054.0,1737810,2506,Best Capital Mar'29,1,top_ytm,3,bonds
2026-04-02T21:59:11.202+05:30,1775146678054.0,1737810,2506,Best Capital Mar'29,1,top_ytm,3,bonds
2026-04-02T21:59:11.316+05:30,1775146678054.0,1737810,2506,Best Capital Mar'29,1,top_ytm,3,bonds
2026-04-02T21:59:11.555+05:30,1775146678054.0,1737810,2506,Best Capital Mar'29,1,top_ytm,3,bonds
2026-04-02T21:59:11.628+05:30,1775146678054.0,1737810,2506,Best Capital Mar'29,1,top_ytm,3,bonds
2026-04-02T21:59:11.996+05:30,1775146678054.0,1737810,2506,Best Capital Mar'29,1,top_ytm,3,bonds
2026-04-02T21:59:12.412+05:30,1775146678054.0,1737810,2506,Best Capital Mar'29,1,top_ytm,3,bonds
2026-04-02T21:59:12.6+05:30,1775146678054.0,1737810,2506,Best Capital Mar'29,1,top_ytm,3,bonds
2026-04-02T23:23:12.583+05:30,1775152343796.0,1346557,2368,Akme Dec'28,2,top_ytm,3,bonds
2026-04-02T23:23:14.159+05:30,1775152343796.0,1346557,2368,Akme Dec'28,2,top_ytm,3,bonds
2026-04-02T23:52:09.483+05:30,1775154076643.0,315936,2368,Akme Dec'28,2,top_ytm,3,bonds
2026-04-03T00:03:39.231+05:30,1775154211372.0,34176,2456,Unifinz Capital May'27,2,top_ytm,3,bonds
2026-04-03T00:11:36.183+05:30,1775155193053.0,1756927,2506,Best Capital Mar'29,1,top_ytm,3,bonds
2026-04-03T01:10:22.966+05:30,1775158768700.0,1757042,2456,Unifinz Capital May'27,2,top_ytm,3,bonds
2026-04-03T06:21:51.396+05:30,1775177355041.0,1671568,2254,Akara Capitals May'27,3,top_ytm,3,bonds
2026-04-03T10:48:18.601+05:30,1775193144931.0,1757773,2506,Best Capital Mar'29,1,top_ytm,3,bonds
2026-04-03T11:01:23.423+05:30,1775193550571.0,1702121,2486,Basket Smart Bond Feb'28,2,top_ytm,3,bonds
2026-04-03T12:45:42.797+05:30,1775200375761.0,1758200,2506,Best Capital Mar'29,1,top_ytm,3,bonds
2026-04-03T13:12:48.345+05:30,1775202089027.0,1055102,2445,Keertana Finserv Oct'28,3,top_ytm,3,bonds
2026-04-03T13:14:44.453+05:30,1775202218931.0,1758287,2254,Akara Capitals May'27,3,top_ytm,3,bonds
2026-04-03T13:19:03.206+05:30,1775202216541.0,1596331,2505,Best Capital Mar'29,1,top_ytm,3,bonds
2026-04-03T16:08:15.172+05:30,1775212319833.0,1660811,2368,Akme Dec'28,2,top_ytm,3,bonds
2026-04-03T17:22:20.981+05:30,1775216214012.0,1163649,2505,Best Capital Mar'29,1,top_ytm,3,sdi
2026-04-03T17:23:28.011+05:30,1775216214012.0,1163649,2505,Best Capital Mar'29,1,top_ytm,3,sdi
2026-04-03T20:43:57.548+05:30,1775229174502.0,1064325,2512,Paisalo Sep'28,3,top_ytm,3,bonds
2026-04-03T22:25:11.245+05:30,1775234486251.0,1759325,2506,Best Capital Mar'29,1,top_ytm,3,bonds
2026-04-03T22:41:22.218+05:30,1775236148470.0,708925,2456,Unifinz Capital May'27,2,top_ytm,3,bonds
2026-04-03T23:09:12.527+05:30,1775237921842.0,1735588,2197,Lucina Jan'29,1,top_ytm,3,baskets
2026-04-04T02:33:24.716+05:30,1775250127101.0,1759900,2506,Best Capital Mar'29,1,top_ytm,3,bonds
2026-04-04T07:48:01.548+05:30,1775268362013.0,1760033,2445,Keertana Finserv Oct'28,3,top_ytm,3,bonds
2026-04-04T07:48:03.479+05:30,1775268362013.0,1760033,2445,Keertana Finserv Oct'28,3,top_ytm,3,bonds
2026-04-04T07:53:34.093+05:30,1775269287647.0,715162,2368,Akme Dec'28,2,top_ytm,3,bonds
2026-04-04T08:26:56.011+05:30,1775271299272.0,887155,2505,Best Capital Mar'29,1,top_ytm,3,bonds
2026-04-04T08:36:32.047+05:30,1775271931625.0,1092242,2197,Lucina Jan'29,1,top_ytm,3,bonds
2026-04-04T08:39:12.822+05:30,1775271931625.0,1092242,2486,Basket Smart Bond Feb'28,2,top_ytm,3,bonds
2026-04-04T08:57:37.893+05:30,1775273122981.0,1654678,2486,Basket Smart Bond Feb'28,2,top_ytm,3,bonds
2026-04-04T12:45:05.352+05:30,1775286887756.0,873595,2505,Best Capital Mar'29,1,top_ytm,3,bonds
2026-04-04T12:45:14.473+05:30,1775286887756.0,873595,2445,Keertana Finserv Oct'28,3,top_ytm,3,bonds
2026-04-04T12:46:16.466+05:30,1775286787183.0,910553,2505,Best Capital Mar'29,1,top_ytm,3,bonds
2026-04-04T13:49:55.596+05:30,1775290474384.0,1070189,2486,Basket Smart Bond Feb'28,2,top_ytm,3,baskets
2026-04-04T15:49:52.156+05:30,1775297524699.0,1267602,2456,Unifinz Capital May'27,2,top_ytm,3,bonds
2026-04-04T17:18:15.032+05:30,1775303118748.0,1634413,2456,Unifinz Capital May'27,2,top_ytm,3,bonds
2026-04-04T17:18:50.757+05:30,1775301461696.0,917544,2445,Keertana Finserv Oct'28,3,top_ytm,3,bonds
