timestamp,context_session_id,user_id,query_text,clicked_asset_id,clicked_asset_name,clicked_asset_type,result_position,results_count,active_tab
2026-04-16T02:58:18.812+05:30,1776287426675.0,1789738,Gold,2393,RCBKD260201,bonds,1,6,bonds
2026-04-16T03:13:26.927+05:30,1776289364440.0,1388793,Capri,2422,RCBCGL260201,bonds,0,3,bonds
2026-04-16T03:39:23.988+05:30,1776290832409.0,1785739,SMC GLOBAL,2422,RCBCGL260201,bonds,0,1,sdi
2026-04-16T03:39:38.636+05:30,1776290832409.0,1785739,Paisalo,2499,RCBPSL260301,bonds,0,1,sdi
2026-04-16T07:31:12.043+05:30,1776304805562.0,1787896,Mcred,2104,RCBMM251005,bonds,2,3,bonds
2026-04-16T07:42:40.492+05:30,1776305312937.0,1717679,Regr,2394,RCBRF260201,bonds,0,2,bonds
2026-04-16T08:22:07.138+05:30,1776307313207.0,1790142,Mut,2104,RCBMM251005,bonds,0,1,bonds
2026-04-16T08:23:07.974+05:30,1776307816366.0,1790183,Fixed return ,2446,RCBKF260202,bonds,0,0,bonds
2026-04-16T08:24:09.833+05:30,1776307997964.0,844945,Moneyboxx,2539,RCBIM260302,bonds,0,0,baskets
2026-04-16T08:24:50.413+05:30,1776305937524.0,1780080,Government,2554,RCBTB260406,bonds,0,3,bonds
2026-04-16T08:25:03.306+05:30,1776308051959.0,1263671,Icl fincorp,2438,RCBNF260202,bonds,1,3,bonds
2026-04-16T09:18:16.857+05:30,1776311270605.0,1790507,And bond,2197,RCBLCN251102,bonds,0,1,baskets
2026-04-16T09:24:40.911+05:30,1776311560552.0,70056,Bestfinan,2506,RCBBC260302,bonds,2,3,bonds
2026-04-16T09:30:06.877+05:30,1776311730687.0,1746772,A bond,2486,RCBSBBK260301,basket,0,4,bonds
2026-04-16T09:31:35.23+05:30,1776311560552.0,70056,Spanda,2318,RCBSPD251201,bonds,0,4,bonds
2026-04-16T09:52:20.25+05:30,1776312841212.0,1788882,T bill,2554,RCBTB260406,bonds,0,0,bonds
