timestamp,context_session_id,user_id,query_text,clicked_asset_id,clicked_asset_name,clicked_asset_type,result_position,results_count,active_tab
2026-04-02T19:15:58.815+05:30,1775137472603,622564,Unity,1292,FDUNT240901,high_yield_fd,0,2,sdi
2026-04-02T19:19:57.871+05:30,1775137672721,1612337,Nar,2393,RCBKD260201,bonds,0,7,bonds
2026-04-02T19:20:17.316+05:30,1775137672721,1612337,Narvi,2491,RCBMSF260301,bonds,0,2,bonds
2026-04-02T19:20:56.047+05:30,1775137821346,20110,Akara,2271,RCBKB251203,bonds,1,2,bonds
2026-04-02T19:21:37.017+05:30,1775137821346,20110,AKA,2290,RCBAC251202,bonds,0,2,sdi
2026-04-02T19:22:24.978+05:30,1775136271084,715615,Best,2505,RCBBC260301,bonds,0,2,bonds
2026-04-02T19:32:36.125+05:30,1775136271084,715615,Sell,1217,RGSEC240801,bonds,0,25,bonds
2026-04-02T19:34:35.385+05:30,1775137821346,20110,New,1292,FDUNT240901,high_yield_fd,0,6,sdi
2026-04-02T19:49:01.766+05:30,1775139510163,715615,Bes,2271,RCBKB251203,bonds,1,2,bonds
2026-04-02T19:49:28.943+05:30,1775139510163,715615,Best,2271,RCBKB251203,bonds,1,2,bonds
2026-04-02T20:04:38.88+05:30,1775140456366,2,Ine58,2151,RCBUG251005,bonds,0,2,bonds
2026-04-02T20:05:07.34+05:30,1775140456366,2,Trea,2254,RCBAC251201,bonds,3,5,bonds
2026-04-02T20:12:26.95+05:30,1775140486157,317619,Muffin g,2334,RCBMFN260101,bonds,0,1,bonds
2026-04-02T20:24:34.515+05:30,1775136709938,1735954,IN002025Z310 ,1750,RGSEC250602,bonds,1,0,bonds
2026-04-02T20:37:59.854+05:30,1775142455277,20110,Srira,1095,FDSRF240601,high_yield_fd,0,1,highyieldfd
2026-04-02T20:46:26.005+05:30,1775142792826,1756561,Satin ,2462,RCBSFL260301,bonds,0,1,bonds
2026-04-02T20:46:44.489+05:30,1775142997766,458292,Nido,2497,RCBNH260301,bonds,0,3,bonds
2026-04-02T23:00:15.368+05:30,1775150949312,1391534,Ifl,2456,RCBUF260302,bonds,0,1,bonds
2026-04-02T23:08:38.872+05:30,1775151114263,1756812,100,2365,RLNXAK260101,sdi,0,2,bonds
2026-04-02T23:17:19.916+05:30,1775151921409,1724448,Navi Finserv,2259,RCBFC251201,bonds,1,3,bonds
2026-04-03T00:33:30.628+05:30,1775156573328,47039,Mufin,2334,RCBMFN260101,bonds,0,6,bonds
2026-04-03T00:51:05.329+05:30,1775157284141,1501222,Navi finserv,2259,RCBFC251201,bonds,1,3,bonds
2026-04-03T01:01:16.711+05:30,1775158144180,1757029,Motala,2395,RCBES260201,bonds,0,1,bonds
2026-04-03T06:04:27.274+05:30,1775175289216,1757202,indian hotel,2500,RCBIM260301,bonds,0,2,bonds
2026-04-03T06:47:28.053+05:30,1775179039515,2,Muf,2334,RCBMFN260101,bonds,0,1,bonds
2026-04-03T06:48:20.43+05:30,1775179083153,2,Muf,2334,RCBMFN260101,bonds,0,1,bonds
2026-04-03T07:09:14.766+05:30,1775179833606,1757261,Personal loan,2499,RCBPSL260301,bonds,0,1,bonds
2026-04-03T07:52:16.57+05:30,1775182670227,1677329,Kana,2393,RCBKD260201,bonds,0,3,bonds
2026-04-03T07:52:43.488+05:30,1775182670227,1677329,Kanak,2393,RCBKD260201,bonds,0,3,bonds
2026-04-03T09:45:22.577+05:30,1775189285115,195188,Paisa,2499,RCBPSL260301,bonds,0,2,bonds
2026-04-03T09:56:40.434+05:30,1775189155455,1665130,ke ,2445,RCBKF260201,bonds,0,2,bonds
2026-04-03T10:01:39.089+05:30,1775190515394,638562,Midland,2318,RCBSPD251201,bonds,1,0,bonds
2026-04-03T10:04:43.863+05:30,1775190779146,1745569,Rbi bo,2310,RGSEC251203,bonds,0,3,bonds
2026-04-03T10:16:16.658+05:30,1775190579884,62834,5 months,2498,RCBNH260302,bonds,0,0,bonds
2026-04-03T10:16:26.385+05:30,1775191546463,30570,Akar,2393,RCBKD260201,bonds,1,2,bonds
2026-04-03T10:22:47.409+05:30,1775191943006,1612337,Below ,2271,RCBKB251203,bonds,0,1,bonds
2026-04-03T10:23:29.96+05:30,1775191943006,1612337,Kosamatt,2462,RCBSFL260301,bonds,0,0,bonds
2026-04-03T10:38:47.321+05:30,1775192692664,1607110,Government ,2457,RCBTB260217,bonds,0,1,bonds
2026-04-03T10:44:24.148+05:30,1775193157490,1743394,High yield bond,1239,FDSRY240901,high_yield_fd,0,0,baskets
2026-04-03T11:01:10.398+05:30,1775193381332,1197644,Treas,2457,RCBTB260217,bonds,0,1,bonds
2026-04-03T11:05:15.818+05:30,1775193371061,1757802,Shri,2459,RCBAE260301,bonds,0,0,bonds
2026-04-03T11:10:27.805+05:30,1775194796122,872978,Kosama,2393,RCBKD260201,bonds,2,0,bonds
2026-04-03T11:14:27.977+05:30,1775194796122,872978,Pais,2499,RCBPSL260301,bonds,0,1,bonds
2026-04-03T11:50:48.739+05:30,1775197005258,1594730,Chois,2318,RCBSPD251201,bonds,0,0,bonds
2026-04-03T11:51:20.785+05:30,1775197269739,1308665,UGRO Capital Limited,2151,RCBUG251005,bonds,0,1,bonds
2026-04-03T11:57:15.369+05:30,1775197422754,1678765,Muthoo,2318,RCBSPD251201,bonds,1,0,bonds
