user_id,timestamp,asset_id,product_category
1935938,2026-06-11T00:23:56.277+05:30,2708,Corporate Bonds
1448262,2026-06-11T00:21:51.673+05:30,2608,Corporate Bonds
1911304,2026-06-11T00:16:33.029+05:30,2308,Corporate Bonds
1925551,2026-06-11T00:05:44.61+05:30,2268,Corporate Bonds
835183,2026-06-11T00:26:25.528+05:30,2438,Corporate Bonds
1448262,2026-06-11T00:14:45.788+05:30,2527,Corporate Bonds
1448262,2026-06-11T00:08:19.245+05:30,2527,Corporate Bonds
1935938,2026-06-11T00:24:10.102+05:30,2708,Corporate Bonds
1935915,2026-06-11T00:09:17.816+05:30,2268,Corporate Bonds
1935906,2026-06-11T00:02:23.572+05:30,2268,Corporate Bonds
1935915,2026-06-11T00:08:28.635+05:30,2268,Corporate Bonds
1935915,2026-06-11T00:08:41.111+05:30,2268,Corporate Bonds
1935915,2026-06-11T00:10:29.073+05:30,2268,Corporate Bonds
