anonymous_id,is_searcher,clicked_search_result,converted
1f2c6880-829d-46ba-81bb-05ece54eada5,true,true,true
bab32acb-2721-4531-8452-737800d804e9,true,false,true
54907a8a-7152-4495-8242-7f3cad4e5dfb,true,true,true
03eafb61-e057-4339-b6db-600e23807515,true,true,true
5c16c02c-b8a9-4328-a900-8f23b19ff921,true,false,true
7b7113ee-a0dc-43d3-9505-3acbf18ab91f,true,true,true
fb259b64-130f-40ea-896b-a52f6fcde672,true,false,true
7109666b-d95f-469c-baff-1016f96834c9,true,false,true
d28a30a2-e160-40c4-a0f7-a4035f4c0ee0,true,false,true
e90b70e2-9816-4a34-add9-82114221bdb8,true,false,true
5337a88a-f00b-48a2-969b-8f6d4beb6891,true,true,true
980058fa-6fdb-4674-89bf-aa91d27585cc,true,false,true
c65033d3-4034-4715-b9c6-1c379d4d6568,true,true,true
d26d6346-2723-4e6a-96e2-efe5e2a48ee7,true,true,true
260d1c5f-9c11-4493-8f25-6edeba46c572,true,true,true
4e9a0796-5991-4d52-a387-13698fecd746,true,true,true
296627de-2b4b-4ce7-83d3-a9fed7f77147,true,true,true
daed0e00-234d-4e07-959a-ae74ba600681,true,true,true
71dd64d1-8687-4816-aae3-d6da5e30a340,true,true,true
72fa354f-f50b-45a0-9157-9e92b95c4c8f,true,true,true
033f687d-966b-4630-84c7-674df60a2cf4,true,true,true
85a1e473-1a00-4923-9688-b1fccca0cd08,true,false,true
a70b527f-e1bf-4b25-aaa4-d47980af2244,true,true,true
dcdec135-c46b-4f01-a791-2a3474e44b3b,true,true,true
64eef380-069a-49a1-909e-d4f319675d6d,true,true,true
4e2a1ad7-6148-4109-b156-0cb99b7879df,true,false,true
5e4e2f8a-70fb-4657-99a9-c8c0caba3fb8,true,true,true
34120832-6e15-45a3-a5a0-3f9486cdb405,true,false,true
439698b9-7bd0-40ec-9646-5c489f889783,true,true,true
522d08c3-40c2-430f-9f8e-63fc6b63e94d,true,true,true
e22ef9e5-4dd8-49d4-92bd-e593f319ed61,true,true,true
3eab234d-5198-41aa-b7e0-d8fff4f53ee5,true,true,true
6d11b212-096e-4c40-82f9-aa54039cf691,true,true,true
8ddfbb28-4504-45a0-87fa-640c13650940,true,true,true
15d60c9b-6c6e-4758-a74b-f0c7b9c3a4ab,true,true,true
8f3feb45-7152-43dd-bccf-d60a06847d48,true,false,true
d1920a1d-953c-4188-9526-cd71e4f9cb81,true,true,true
2a049c93-5b90-4ec6-978a-712fa7af803c,true,false,true
6382c1dc-fa8d-44af-a8d6-6e42491bb9e0,true,false,true
b3868726-8ad2-4a22-9ad9-30f63c806caa,true,true,true
e1818aa0-2810-4885-80a9-530237977e98,true,true,true
16085595-2c59-4711-a944-84832ad0f1a5,true,false,true
66c636c1-6eb7-4a31-8f4f-bbd418ec51c2,true,true,true
eea2fc1b-2ba4-4782-8031-46eea85ec342,true,true,true
fa572f07-b031-471a-9851-d30feaa945bc,true,true,true
f0cad5d1-6e71-40b5-9b94-3d734bbbcaed,true,false,true
ab5226db-d4d7-415d-bd17-8f173d5a6cb2,true,true,true
cd4a5a2f-67e2-4daf-bf7b-8e2aabd0dc21,true,false,true
3a1882f4-e82d-4a00-9136-8b9e0c449cc8,true,true,true
707988ab-55a7-4a63-9355-0b28a1a017f0,true,true,true
37cd3bb7-a72e-4569-b72d-2118466aa912,true,true,true
cbc3f221-597f-4912-ab96-f7de49c16c3b,true,false,true
46cc6af0-02a6-459e-bc19-7a5ed143e5b3,true,false,true
175db575-f8f6-4307-bf39-c2bed32f91f7,true,true,true
9fe36055-3caf-4e1f-9375-7c95f506cb70,true,false,true
d045882c-067b-4aff-85ba-7925a70e0b8c,true,false,true
3c826cda-5879-4976-8fd7-27a36c0dfeb6,true,false,true
bb92bda8-647d-424f-bdc3-c838e9891385,true,true,true
3ab6945b-c71e-4750-bef4-59a02cdf0b51,true,false,true
11abcc48-edae-47ba-8ee1-d37b0f38693a,true,true,true
454b2049-24b5-482f-98bc-fb099f3b2750,true,true,true
f3c0063d-52e0-4469-9436-7c3b0ab8c4d1,true,true,true
be028b34-f6ea-48b2-ad28-8c3165daf0d4,true,true,true
8a476dc8-9b25-4c1e-8a06-28ecd71c46d5,true,false,true
2e6baaa1-ec27-45f2-99c3-956cbfee6ea2,true,true,true
9445b8e5-f16a-4d75-9a31-b6a961660be4,true,false,true
d4096b28-ef90-4dcc-9c9c-84805ac2d83e,true,true,true
b69060dd-15b8-4097-9f46-ad24c2735efe,true,false,true
fdfa6c49-e624-4825-a9a1-1ffd1e27628e,true,false,true
