context_session_id,product_category,asset_id,timestamp,user_id,anonymous_id
1775075100460,Bonds,2505,2026-04-02T01:59:20.304+05:30,1455148,890742bc-8066-41ac-b2dd-f231f697aa91
1775077337413,Bonds,2505,2026-04-02T02:33:22.264+05:30,1431380,7c1bb9ba-1057-4d56-baf8-72d99260f7e5
1775086145167,Bonds,2505,2026-04-02T05:30:33.077+05:30,1542294,6ee90e09-8119-4761-9062-5ab4a1c6330e
1775096974994,Bonds,2467,2026-04-02T08:02:25.152+05:30,5030,351a3878-9935-4534-9a41-dccea1d8b083
1775097472572,Bonds,2312,2026-04-02T08:08:06.02+05:30,1515979,dcec726f-c73a-423b-baa5-b7cfcc002f76
1775098221103,Bonds,2467,2026-04-02T08:21:51.211+05:30,934670,484b61ef-e518-4ef2-97eb-d16f7a62b89d
1775098804200,Bonds,2505,2026-04-02T08:30:18.974+05:30,1410761,0822341e-4540-4010-9bde-cfa8ce8beede
1775099329787,Bonds,2467,2026-04-02T08:39:32.996+05:30,938939,709e0399-cc6f-4d86-9f6c-baadaed45118
1775099519027,Bonds,2312,2026-04-02T08:42:14.284+05:30,1515979,dcec726f-c73a-423b-baa5-b7cfcc002f76
1775099519027,Bonds,2312,2026-04-02T09:02:57.04+05:30,1515979,dcec726f-c73a-423b-baa5-b7cfcc002f76
1775099519027,Bonds,1217,2026-04-02T09:04:04.267+05:30,1515979,dcec726f-c73a-423b-baa5-b7cfcc002f76
1775100835956,Bonds,2310,2026-04-02T09:04:20.072+05:30,1750774,4bd24b53-28d6-42cc-9524-c2ba49831c64
1775102093386,Bonds,2467,2026-04-02T09:36:17.932+05:30,1752772,a5e234dd-73d4-4260-b86f-deb3062e7d8f
1775103751570,SDI Secondary,2365,2026-04-02T09:55:24.921+05:30,1297753,6d30ee9c-89dd-4dc5-8877-3f26cb258217
1775112704996,Bonds,2388,2026-04-02T10:15:10.367+05:30,976069,5085807d-b933-4722-a28d-d9288b57196b
1775107029755,Bonds,2388,2026-04-02T10:54:54.554+05:30,467965,b43b3062-1cdc-4a54-b0f2-22ec5e5f02ec
1775107029755,Bonds,2388,2026-04-02T10:55:10.997+05:30,467965,b43b3062-1cdc-4a54-b0f2-22ec5e5f02ec
1775107029755,Bonds,2388,2026-04-02T11:18:41.783+05:30,467965,b43b3062-1cdc-4a54-b0f2-22ec5e5f02ec
1775111058224,Bonds,2500,2026-04-02T11:54:24.545+05:30,514187,6d2ace66-4e0e-4ba2-8dc1-e10b4a39b19e
1775110146953,Bonds,2467,2026-04-02T11:57:28.755+05:30,1144575,4e9a0796-5991-4d52-a387-13698fecd746
1775110146953,Bonds,2467,2026-04-02T11:58:47.55+05:30,1144575,4e9a0796-5991-4d52-a387-13698fecd746
1775110146953,Bonds,2467,2026-04-02T11:59:20.85+05:30,1144575,4e9a0796-5991-4d52-a387-13698fecd746
1775110146953,Bonds,2467,2026-04-02T12:01:39.855+05:30,1144575,4e9a0796-5991-4d52-a387-13698fecd746
1775112630718,Bonds,1217,2026-04-02T12:24:47.035+05:30,1752482,1e9ce55b-a766-4c23-a855-dcffa8c0edb9
1775112207855,Bonds,2471,2026-04-02T12:27:37.424+05:30,502687,d1195a83-e6dd-41fe-804b-05b7f53ff967
1775114043178,Bonds,2312,2026-04-02T12:45:20.329+05:30,1750774,4bd24b53-28d6-42cc-9524-c2ba49831c64
1775114043178,Bonds,2312,2026-04-02T12:45:20.334+05:30,1750774,4bd24b53-28d6-42cc-9524-c2ba49831c64
1775114043178,Bonds,2312,2026-04-02T12:45:22.43+05:30,1750774,4bd24b53-28d6-42cc-9524-c2ba49831c64
1775114043178,Bonds,2310,2026-04-02T12:46:53.051+05:30,1750774,4bd24b53-28d6-42cc-9524-c2ba49831c64
1775114536972,Bonds,2505,2026-04-02T12:54:41.716+05:30,1297753,6d30ee9c-89dd-4dc5-8877-3f26cb258217
1775114614379,Bonds,2505,2026-04-02T13:03:58.514+05:30,25508,e90dbd29-99c7-40a3-a2c0-8ad6ecde29e8
1775118996866,Bonds,2310,2026-04-02T14:08:37.459+05:30,1317560,730ed52f-9dc8-44e5-ad75-1c0165f1e599
1775118695361,Bonds,2456,2026-04-02T14:13:18.416+05:30,1755869,fedae955-0f80-43d4-916e-3dc3deb2ffce
1775118695361,Bonds,2456,2026-04-02T14:14:55.225+05:30,1755869,fedae955-0f80-43d4-916e-3dc3deb2ffce
1775119687751,Bonds,2505,2026-04-02T14:18:15.101+05:30,467965,b43b3062-1cdc-4a54-b0f2-22ec5e5f02ec
1775120804477,Bonds,2506,2026-04-02T14:50:52.869+05:30,1755924,3ebe5d54-75be-4ef4-b37c-77ba599e9c14
1775122574924,Bonds,2506,2026-04-02T15:07:50.787+05:30,1731135,98c15dd5-c007-480f-9101-f70e7ee5a98e
1775122574924,Bonds,2422,2026-04-02T15:11:50.776+05:30,1731135,98c15dd5-c007-480f-9101-f70e7ee5a98e
1775122574924,Bonds,2151,2026-04-02T15:14:31.724+05:30,1731135,98c15dd5-c007-480f-9101-f70e7ee5a98e
1775123597429,Bonds,2505,2026-04-02T15:28:50.335+05:30,1534417,eed81df9-15a9-4711-a76e-2f1a03a9e580
1775124845897,Bonds,2423,2026-04-02T15:47:28.602+05:30,1056058,e0477759-29ff-4130-943f-acbb95c89464
1775124001638,Bonds,2505,2026-04-02T16:02:40.85+05:30,1619207,67b2c926-29ad-445e-b890-b997e190d79c
1775126969596,Bonds,2498,2026-04-02T16:23:04.377+05:30,735792,52abf716-02c1-4e78-8d59-d9a1545f65bc
1775127998850,Bonds,2505,2026-04-02T16:43:22.347+05:30,724160,74db4477-c4bc-419f-b281-929a1c0fe723
1775127998850,Bonds,2290,2026-04-02T16:49:02.763+05:30,724160,74db4477-c4bc-419f-b281-929a1c0fe723
1775128991868,Bonds,2394,2026-04-02T17:10:38.854+05:30,1741804,934ce7b6-8b91-4948-995c-72a8d3a0710f
1775131006646,Bonds,2310,2026-04-02T17:27:12.161+05:30,1750774,4bd24b53-28d6-42cc-9524-c2ba49831c64
1775131061062,SDI Secondary,2365,2026-04-02T17:27:53.924+05:30,1170422,9d81387f-99d1-4266-ad9c-f895adfd4ad8
1775131061062,SDI Secondary,2365,2026-04-02T17:33:29.01+05:30,1170422,9d81387f-99d1-4266-ad9c-f895adfd4ad8
1775131706141,SDI Secondary,2365,2026-04-02T17:40:04.262+05:30,289846,f610006b-c21e-43bf-83f8-a17310f66b94
1775133812158,Bonds,2499,2026-04-02T18:14:57.343+05:30,1555294,00b5761e-af8d-4e22-aaec-aaf77dcbe3f1
1775135488491,Bonds,2499,2026-04-02T18:51:26.067+05:30,943690,9291245c-111a-4e07-be9c-dbd6aa9ff2ee
1775137671415,Bonds,2368,2026-04-02T19:18:52.022+05:30,1686687,cbdcf8f0-d53b-46dc-9835-fcd998e2be52
